OBJECTID,id,COUNT,AREA,MEAN
1,0,333097.000000000000000,314151595.721629977226257,0.012996214315950
2,1,333091.000000000000000,314145936.980859756469727,0.040559486746865
3,2,333120.000000000000000,314173287.561249077320099,0.043858069164265
4,3,333114.000000000000000,314167628.820478856563568,0.054470841813914
5,4,333112.000000000000000,314165742.573555469512939,0.132510987295564
6,5,333114.000000000000000,314167628.820478856563568,0.203870146556434
7,6,333092.000000000000000,314146880.104321479797363,0.098456282348420
8,7,333103.000000000000000,314157254.462400138378143,0.159305079810149
9,8,333114.000000000000000,314167628.820478856563568,0.256951073806565
10,9,333099.000000000000000,314153481.968553364276886,0.258154482601269
11,10,333108.000000000000000,314161970.079708635807037,0.201628300731294
12,11,333108.000000000000000,314161970.079708635807037,0.259117163202325
13,12,333094.000000000000000,314148766.351244866847992,0.299672164614193
14,13,333097.000000000000000,314151595.721629977226257,0.288501547597246
15,14,333115.000000000000000,314168571.943940579891205,0.179721717725110
16,15,333094.000000000000000,314148766.351244866847992,0.073111494052730
17,16,333100.000000000000000,314154425.092015087604523,0.082029420594416
18,17,333109.000000000000000,314162913.203170359134674,0.084584925654966
19,18,333101.000000000000000,314155368.215476751327515,0.129201053134034
20,19,333095.000000000000000,314149709.474706590175629,0.095074978609706
21,20,333097.000000000000000,314151595.721629977226257,0.100733419994776
22,21,333099.000000000000000,314153481.968553364276886,0.215467473633965
23,22,333088.000000000000000,314143107.610474705696106,0.209539220866558
24,23,333105.000000000000000,314159140.709323585033417,0.209483496194894
25,24,333100.000000000000000,314154425.092015087604523,0.223806664665266
26,25,333100.000000000000000,314154425.092015087604523,0.429993995797058
27,26,333101.000000000000000,314155368.215476751327515,0.421178561457336
28,27,333096.000000000000000,314150652.598168253898621,0.491125681485217
29,28,333088.000000000000000,314143107.610474705696106,0.577054712268229
30,29,333100.000000000000000,314154425.092015087604523,0.506688682077454
31,30,333107.000000000000000,314161026.956246972084045,0.444788011059509
32,31,333109.000000000000000,314162913.203170359134674,0.474691467357532
33,32,333111.000000000000000,314164799.450093746185303,0.474130244873330
34,33,333102.000000000000000,314156311.338938474655151,0.464725519510540
35,34,333109.000000000000000,314162913.203170359134674,0.454613955191844
36,35,333101.000000000000000,314155368.215476751327515,0.473613108336511
37,36,333121.000000000000000,314174230.684710741043091,0.465314405276161
38,37,333095.000000000000000,314149709.474706590175629,0.481039943559645
39,38,333091.000000000000000,314145936.980859756469727,0.482441735141448
40,39,333103.000000000000000,314157254.462400138378143,0.618874642377883
41,40,333098.000000000000000,314152538.845091640949249,0.591435553500772
42,41,333077.000000000000000,314132733.252395987510681,0.460674258504790
43,42,333110.000000000000000,314163856.326632082462311,0.497430278286452
44,43,333086.000000000000000,314141221.363551259040833,0.310442348222381
45,44,333102.000000000000000,314156311.338938474655151,0.462404909006851
46,45,333097.000000000000000,314151595.721629977226257,0.385581377196432
47,46,333098.000000000000000,314152538.845091640949249,0.180574485586824
48,47,333108.000000000000000,314161970.079708635807037,0.175399570109394
49,48,333099.000000000000000,314153481.968553364276886,0.221051399133591
50,49,333107.000000000000000,314161026.956246972084045,0.195270588729748
51,50,333093.000000000000000,314147823.227783143520355,0.107234315941794
52,51,333100.000000000000000,314154425.092015087604523,0.128207745421795
53,52,333108.000000000000000,314161970.079708635807037,0.263578178848902
54,53,333096.000000000000000,314150652.598168253898621,0.101730432067632
55,54,333099.000000000000000,314153481.968553364276886,0.186322985058496
56,55,333109.000000000000000,314162913.203170359134674,0.089448198637683
57,56,333090.000000000000000,314144993.857398092746735,0.174073073343541
58,57,333104.000000000000000,314158197.585861861705780,0.130169556654979
59,58,333096.000000000000000,314150652.598168253898621,0.252587842543891
60,59,333108.000000000000000,314161970.079708635807037,0.016706293454375
61,60,333094.000000000000000,314148766.351244866847992,0.091877968381298
62,61,333099.000000000000000,314153481.968553364276886,0.088433168517468
63,62,333096.000000000000000,314150652.598168253898621,0.063648317602133
64,63,333117.000000000000000,314170458.190863966941833,0.025018236835706
65,64,333103.000000000000000,314157254.462400138378143,0.079978264981102
66,65,333101.000000000000000,314155368.215476751327515,0.067384967322224
67,66,333104.000000000000000,314158197.585861861705780,0.020894375330227
68,67,333102.000000000000000,314156311.338938474655151,0.029210271928719
69,68,333092.000000000000000,314146880.104321479797363,0.153801352178978
70,69,333093.000000000000000,314147823.227783143520355,0.185930055570066
71,70,333100.000000000000000,314154425.092015087604523,0.144836385469829
72,71,333084.000000000000000,314139335.116627871990204,0.205116427087461
73,72,333100.000000000000000,314154425.092015087604523,0.087265085559892
74,73,333096.000000000000000,314150652.598168253898621,0.095167759444725
75,74,333094.000000000000000,314148766.351244866847992,0.084921973977316
76,75,333119.000000000000000,314172344.437787353992462,0.082997367307179
77,76,333097.000000000000000,314151595.721629977226257,0.062819539053189
78,77,333103.000000000000000,314157254.462400138378143,0.054985995322768
79,78,333110.000000000000000,314163856.326632082462311,0.053114586773138
80,79,333114.000000000000000,314167628.820478856563568,0.044225100115876
81,80,333111.000000000000000,314164799.450093746185303,0.036972660764730
82,81,333107.000000000000000,314161026.956246972084045,0.035733262885499
83,82,333102.000000000000000,314156311.338938474655151,0.094868838974248
84,83,333096.000000000000000,314150652.598168253898621,0.066029012657012
85,84,333107.000000000000000,314161026.956246972084045,0.057753214432600
86,85,333114.000000000000000,314167628.820478856563568,0.064986761288928
87,86,333119.000000000000000,314172344.437787353992462,0.109411351499014
88,87,333107.000000000000000,314161026.956246972084045,0.183676716490497
89,88,333095.000000000000000,314149709.474706590175629,0.186127080862817
90,89,333106.000000000000000,314160083.832785248756409,0.325521005325632
91,90,333108.000000000000000,314161970.079708635807037,0.345080274265403
92,91,333095.000000000000000,314149709.474706590175629,0.108680706705294
93,92,333093.000000000000000,314147823.227783143520355,0.063366687381602
94,93,333095.000000000000000,314149709.474706590175629,0.270838649634489
95,94,333101.000000000000000,314155368.215476751327515,0.254523402811760
96,95,333113.000000000000000,314166685.697017133235931,0.246216749271268
97,96,333093.000000000000000,314147823.227783143520355,0.234054753477257
98,97,333104.000000000000000,314158197.585861861705780,0.225311013977617
99,98,333111.000000000000000,314164799.450093746185303,0.332681898826517
100,99,333095.000000000000000,314149709.474706590175629,0.369843438058212
101,100,333110.000000000000000,314163856.326632082462311,0.342367386148720
102,101,333089.000000000000000,314144050.733936369419098,0.288517483315270
103,102,333111.000000000000000,314164799.450093746185303,0.016312880691421
104,103,333096.000000000000000,314150652.598168253898621,0.017865720392920
105,104,333113.000000000000000,314166685.697017133235931,0.025072572970734
106,105,333100.000000000000000,314154425.092015087604523,0.030345241669168
107,106,333093.000000000000000,314147823.227783143520355,0.041676048430919
108,107,333095.000000000000000,314149709.474706590175629,0.057479097554752
109,108,333092.000000000000000,314146880.104321479797363,0.068821827002750
110,109,333105.000000000000000,314159140.709323585033417,0.072226475135468
111,110,333105.000000000000000,314159140.709323585033417,0.055204815298479
112,111,333097.000000000000000,314151595.721629977226257,0.057589831190314
113,112,333101.000000000000000,314155368.215476751327515,0.078126454138535
114,113,333105.000000000000000,314159140.709323585033417,0.058125816184086
115,114,333087.000000000000000,314142164.487012982368469,0.059164722730098
116,115,333104.000000000000000,314158197.585861861705780,0.059449901532254
117,116,333094.000000000000000,314148766.351244866847992,0.055470828054543
118,117,333108.000000000000000,314161970.079708635807037,0.069536006340286
119,118,333118.000000000000000,314171401.314325630664825,0.077600129683776
120,119,333100.000000000000000,314154425.092015087604523,0.089273491444011
121,120,333109.000000000000000,314162913.203170359134674,0.113437343332062
122,121,333101.000000000000000,314155368.215476751327515,0.152866547983945
123,122,333104.000000000000000,314158197.585861861705780,0.183690378980739
124,123,333096.000000000000000,314150652.598168253898621,0.152811802003026
125,124,333088.000000000000000,314143107.610474705696106,0.198584157940244
126,125,333104.000000000000000,314158197.585861861705780,0.144621499591719
127,126,333092.000000000000000,314146880.104321479797363,0.095126871855223
128,127,333105.000000000000000,314159140.709323585033417,0.140496239924348
129,128,333097.000000000000000,314151595.721629977226257,0.091919170692021
130,129,333110.000000000000000,314163856.326632082462311,0.094536339347363
131,130,333097.000000000000000,314151595.721629977226257,0.090042840373825
132,131,333114.000000000000000,314167628.820478856563568,0.057157609707187
133,132,333095.000000000000000,314149709.474706590175629,0.090343595670905
134,133,333089.000000000000000,314144050.733936369419098,0.028698035660139
135,134,333088.000000000000000,314143107.610474705696106,0.026278340858872
136,135,333086.000000000000000,314141221.363551259040833,0.028028797367647
137,136,333095.000000000000000,314149709.474706590175629,0.033344841561717
138,137,333112.000000000000000,314165742.573555469512939,0.087691226974711
139,138,333097.000000000000000,314151595.721629977226257,0.075368436221281
140,139,333095.000000000000000,314149709.474706590175629,0.075032648343566
141,140,333102.000000000000000,314156311.338938474655151,0.077783982083566
142,141,333105.000000000000000,314159140.709323585033417,0.101484516894072
143,142,333092.000000000000000,314146880.104321479797363,0.057785836945949
144,143,333086.000000000000000,314141221.363551259040833,0.061650744852681
145,144,333097.000000000000000,314151595.721629977226257,0.061966934556601
146,145,333097.000000000000000,314151595.721629977226257,0.048961713855123
147,146,333094.000000000000000,314148766.351244866847992,0.156241181168079
148,147,333104.000000000000000,314158197.585861861705780,0.202660430376099
149,148,333088.000000000000000,314143107.610474705696106,0.192537707752906
150,149,333106.000000000000000,314160083.832785248756409,0.116590514731047
151,150,333103.000000000000000,314157254.462400138378143,0.148959931312537
152,151,333094.000000000000000,314148766.351244866847992,0.110083039622449
153,152,333086.000000000000000,314141221.363551259040833,0.117654299490222
154,153,333085.000000000000000,314140278.240089595317841,0.103520122491256
155,154,333100.000000000000000,314154425.092015087604523,0.099135394776343
156,155,333112.000000000000000,314165742.573555469512939,0.184460481759889
157,156,333102.000000000000000,314156311.338938474655151,0.153979862024245
158,157,333102.000000000000000,314156311.338938474655151,0.112557114637558
159,158,333086.000000000000000,314141221.363551259040833,0.132659433299508
160,159,333102.000000000000000,314156311.338938474655151,0.140944815702097
161,160,333103.000000000000000,314157254.462400138378143,0.149254134607013
162,161,333103.000000000000000,314157254.462400138378143,0.157419777065953
163,162,333081.000000000000000,314136505.746242761611938,0.182526172312441
164,163,333102.000000000000000,314156311.338938474655151,0.101872699653560
165,164,333105.000000000000000,314159140.709323585033417,0.078464748352622
166,165,333106.000000000000000,314160083.832785248756409,0.074967127581010
167,166,333093.000000000000000,314147823.227783143520355,0.074753897560141
168,167,333080.000000000000000,314135562.622781097888947,0.114110724150354
169,168,333094.000000000000000,314148766.351244866847992,0.130842945234678
170,169,333091.000000000000000,314145936.980859756469727,0.106025080233330
171,170,333102.000000000000000,314156311.338938474655151,0.098321234937046
172,171,333102.000000000000000,314156311.338938474655151,0.164841399931553
173,172,333103.000000000000000,314157254.462400138378143,0.087051152346271
174,173,333096.000000000000000,314150652.598168253898621,0.089415663952734
175,174,333091.000000000000000,314145936.980859756469727,0.098135344395375
176,175,333106.000000000000000,314160083.832785248756409,0.105086669108332
177,176,333098.000000000000000,314152538.845091640949249,0.088874745570373
178,177,333097.000000000000000,314151595.721629977226257,0.223781661197789
179,178,333104.000000000000000,314158197.585861861705780,0.211981843508334
180,179,333104.000000000000000,314158197.585861861705780,0.000000000000000
181,180,333099.000000000000000,314153481.968553364276886,0.049201588716868
182,181,333102.000000000000000,314156311.338938474655151,0.042692628684307
183,182,333093.000000000000000,314147823.227783143520355,0.072793484102038
184,183,333097.000000000000000,314151595.721629977226257,0.152706268744540
185,184,333112.000000000000000,314165742.573555469512939,0.246061384759480
186,185,333113.000000000000000,314166685.697017133235931,0.253376481854506
187,186,333106.000000000000000,314160083.832785248756409,0.190293780358204
188,187,333113.000000000000000,314166685.697017133235931,0.194012242092023
189,188,333097.000000000000000,314151595.721629977226257,0.159545117488299
190,189,333105.000000000000000,314159140.709323585033417,0.140427192626949
191,190,333086.000000000000000,314141221.363551259040833,0.088640771452418
192,191,333107.000000000000000,314161026.956246972084045,0.067407769875746
193,192,333103.000000000000000,314157254.462400138378143,0.053851211186930
194,193,333091.000000000000000,314145936.980859756469727,0.058437484050905
195,194,333097.000000000000000,314151595.721629977226257,0.117080009726896
196,195,333093.000000000000000,314147823.227783143520355,0.002167562812788
197,196,333098.000000000000000,314152538.845091640949249,0.000705498081646
198,197,333106.000000000000000,314160083.832785248756409,0.002356607206115
199,198,333105.000000000000000,314159140.709323585033417,0.011587937737350
200,199,333113.000000000000000,314166685.697017133235931,0.072395853659269
201,200,333092.000000000000000,314146880.104321479797363,0.069257142170932
202,201,333105.000000000000000,314159140.709323585033417,0.056994040918029
203,202,333101.000000000000000,314155368.215476751327515,0.053119023959700
204,203,333110.000000000000000,314163856.326632082462311,0.028444057518537
205,204,333108.000000000000000,314161970.079708635807037,0.031821511341667
206,205,333098.000000000000000,314152538.845091640949249,0.010465388564326
207,206,333083.000000000000000,314138391.993166208267212,0.006613967089284
208,207,333108.000000000000000,314161970.079708635807037,0.006391320532680
209,208,333107.000000000000000,314161026.956246972084045,0.007823312028868
210,209,333086.000000000000000,314141221.363551259040833,0.015998871162403
211,210,333108.000000000000000,314161970.079708635807037,0.024544592144290
212,211,333100.000000000000000,314154425.092015087604523,0.097874512158511
213,212,333106.000000000000000,314160083.832785248756409,0.043343560308130
214,213,333098.000000000000000,314152538.845091640949249,0.050972986928772
215,214,333095.000000000000000,314149709.474706590175629,0.046494243384020
216,215,333117.000000000000000,314170458.190863966941833,0.058399901536097
217,216,333099.000000000000000,314153481.968553364276886,0.059757009177452
218,217,333082.000000000000000,314137448.869704484939575,0.071081595523024
219,218,333104.000000000000000,314158197.585861861705780,0.075237763581344
220,219,333114.000000000000000,314167628.820478856563568,0.079939600256969
221,220,333106.000000000000000,314160083.832785248756409,0.055414792888750
222,221,333096.000000000000000,314150652.598168253898621,0.031309292216058
223,222,333091.000000000000000,314145936.980859756469727,0.027472972851263
224,223,333110.000000000000000,314163856.326632082462311,0.026144516826274
225,224,333106.000000000000000,314160083.832785248756409,0.006190221731221
226,225,333092.000000000000000,314146880.104321479797363,0.005890264551535
227,226,333108.000000000000000,314161970.079708635807037,0.008120489450869
228,227,333115.000000000000000,314168571.943940579891205,0.008243399426624
229,228,333106.000000000000000,314160083.832785248756409,0.008480783894616
230,229,333109.000000000000000,314162913.203170359134674,0.019321003035043
231,230,333102.000000000000000,314156311.338938474655151,0.020270067426794
232,231,333107.000000000000000,314161026.956246972084045,0.029317906858757
233,232,333103.000000000000000,314157254.462400138378143,0.042563411317220
234,233,333098.000000000000000,314152538.845091640949249,0.040051276200998
235,234,333112.000000000000000,314165742.573555469512939,0.032505583707582
236,235,333109.000000000000000,314162913.203170359134674,0.031776385507447
237,236,333113.000000000000000,314166685.697017133235931,0.059838553283721
238,237,333101.000000000000000,314155368.215476751327515,0.038480821132329
239,238,333088.000000000000000,314143107.610474705696106,0.064034129119032
240,239,333096.000000000000000,314150652.598168253898621,0.053729255229724
241,240,333109.000000000000000,314162913.203170359134674,0.073345361428241
242,241,333110.000000000000000,314163856.326632082462311,0.088304163789739
243,242,333098.000000000000000,314152538.845091640949249,0.108412539252712
244,243,333099.000000000000000,314153481.968553364276886,0.132188928816958
245,244,333106.000000000000000,314160083.832785248756409,0.166994890515331
246,245,333093.000000000000000,314147823.227783143520355,0.166965382040451
247,246,333096.000000000000000,314150652.598168253898621,0.171058793861229
248,247,333114.000000000000000,314167628.820478856563568,0.210879758881344
249,248,333109.000000000000000,314162913.203170359134674,0.233010816279356
250,249,333091.000000000000000,314145936.980859756469727,0.208000216157146
251,250,333117.000000000000000,314170458.190863966941833,0.106073841923408
252,251,333092.000000000000000,314146880.104321479797363,0.151531708957285
253,252,333111.000000000000000,314164799.450093746185303,0.185688854465929
254,253,333092.000000000000000,314146880.104321479797363,0.212568899883516
255,254,333094.000000000000000,314148766.351244866847992,0.220256143911328
256,255,333102.000000000000000,314156311.338938474655151,0.201406776302754
257,256,333099.000000000000000,314153481.968553364276886,0.217511910873344
258,257,333120.000000000000000,314173287.561249077320099,0.231265009606148
259,258,333107.000000000000000,314161026.956246972084045,0.247989384792274
260,259,333103.000000000000000,314157254.462400138378143,0.253807380900202
261,260,333103.000000000000000,314157254.462400138378143,0.225251648889383
262,261,333089.000000000000000,314144050.733936369419098,0.210535322391313
263,262,333103.000000000000000,314157254.462400138378143,0.215810124796234
264,263,333094.000000000000000,314148766.351244866847992,0.228509069511910
265,264,333087.000000000000000,314142164.487012982368469,0.221927004055997
266,265,333099.000000000000000,314153481.968553364276886,0.257184800915043
267,266,333087.000000000000000,314142164.487012982368469,0.280947620291395
268,267,333091.000000000000000,314145936.980859756469727,0.174303718803570
269,268,333102.000000000000000,314156311.338938474655151,0.132839190398136
270,269,333128.000000000000000,314180832.548942625522614,0.220569871040561
271,270,333096.000000000000000,314150652.598168253898621,0.212290150587218
272,271,333107.000000000000000,314161026.956246972084045,0.124989868120454
273,272,333096.000000000000000,314150652.598168253898621,0.100541585608954
274,273,333092.000000000000000,314146880.104321479797363,0.091227048383029
