OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
1,0,1,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,1,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
2,0,2,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,2,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
3,0,3,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,3,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
4,0,4,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,4,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
5,0,5,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,5,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
6,0,6,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,6,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
7,0,7,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,7,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
8,0,8,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,8,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
9,0,9,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,9,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
10,15,10,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,10,131558753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
11,15,11,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,11,131558753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
12,15,12,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,12,131558753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
13,16,13,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,13,131558753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
14,15,14,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,14,131558753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
15,6,15,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,15,160179637,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
16,5,16,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
17,5,17,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,17,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
18,3,18,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,18,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
19,3,19,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,19,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
20,5,20,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,NA,NA,NA,NA,NA,10000.000000000000000,20,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
21,4,21,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
22,4,22,114,Nordeste,NA,Corrente,-12.948985000000000,-38.339199999999998,NA,NA,NA,NA,NA,10000.000000000000000,22,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
23,4,23,115,Nordeste,NA,Stela Maris,-12.947385000000001,-38.337372000000002,NA,NA,NA,NA,NA,10000.000000000000000,23,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
24,4,24,116,Nordeste,NA,Plator,-12.946393000000000,-38.333083999999999,NA,NA,NA,NA,NA,10000.000000000000000,24,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
25,4,25,117,Nordeste,NA,Aleluia,-12.926800999999999,-38.312618999999998,NA,NA,NA,NA,NA,10000.000000000000000,25,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
26,3,26,118,Nordeste,NA,Ipitanga,-12.920477000000000,-38.309717999999997,NA,NA,NA,NA,NA,10000.000000000000000,26,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
27,3,27,119,Nordeste,NA,Vilas,-12.894546000000000,-38.290790999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
28,2,28,120,Nordeste,NA,Busca Vida,-12.863464000000000,-38.255961999999997,NA,NA,NA,NA,NA,10000.000000000000000,28,102588003,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
29,0,29,121,Nordeste,NA,Itacimirim,-12.639232000000000,-38.048194000000002,NA,NA,NA,NA,NA,10000.000000000000000,29,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
30,1,30,122,Nordeste,NA,Praia do Forte,-12.583304999999999,-38.005077999999997,NA,NA,NA,NA,NA,10000.000000000000000,30,91145831,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
31,0,31,123,Nordeste,NA,Imbassai,-12.342055000000000,-37.846200000000003,NA,NA,NA,NA,NA,10000.000000000000000,31,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
32,0,32,124,Nordeste,NA,Costa do Sauipe,-12.022171000000000,-37.645508000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
33,0,33,125,Nordeste,NA,Marlin,-11.939802999999999,-37.602476000000003,NA,NA,NA,NA,NA,10000.000000000000000,33,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
34,0,34,126,Nordeste,NA,Conde,-11.848141000000000,-37.558169999999997,NA,NA,NA,NA,NA,10000.000000000000000,34,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
35,0,35,127,Nordeste,NA,Mangue Seco,-11.483613999999999,-37.364454000000002,NA,NA,NA,NA,NA,10000.000000000000000,35,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
36,0,36,128,Nordeste,NA,Mosqueiro,-11.138116000000000,-37.145493000000002,NA,NA,NA,NA,NA,10000.000000000000000,36,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
37,2,37,129,Nordeste,NA,Aruana,-11.067069000000000,-37.101289000000001,NA,NA,NA,NA,NA,10000.000000000000000,37,859270792,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
38,3,38,130,Nordeste,NA,Hawaiizinho,-11.043927999999999,-37.082977999999997,NA,NA,NA,NA,NA,10000.000000000000000,38,390164376,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
39,5,39,131,Nordeste,NA,Praia do Meio,-10.999541000000001,-37.050151000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,95641843,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
40,0,40,132,Nordeste,NA,Pirambu,-10.746346000000001,-36.855099000000003,NA,NA,NA,NA,NA,10000.000000000000000,40,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
41,0,41,133,Nordeste,NA,Ponta do Mangue,-10.639483000000000,-36.678539000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
42,0,42,134,Nordeste,NA,Pontal de Peba,-10.367584000000001,-36.303941000000002,NA,NA,NA,NA,NA,10000.000000000000000,42,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
43,0,43,135,Nordeste,NA,Mihai,-10.196728000000000,-36.181641999999997,NA,NA,NA,NA,NA,10000.000000000000000,43,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
44,0,44,136,Nordeste,NA,Pontal do Coruripe,-10.160774999999999,-36.150663999999999,NA,NA,NA,NA,NA,10000.000000000000000,44,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
45,0,45,137,Nordeste,NA,Forjos,-10.107661999999999,-36.097672000000003,NA,NA,NA,NA,NA,10000.000000000000000,45,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
46,0,46,138,Nordeste,NA,Poxim,-10.063563000000000,-36.040908999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
47,0,47,139,Nordeste,NA,Jacarecica,-9.916383000000000,-35.945963999999996,NA,NA,NA,NA,NA,10000.000000000000000,47,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
48,0,48,140,Nordeste,NA,Praia do Meio,-9.824446999999999,-35.877803000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
49,24,49,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
50,24,50,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,NA,NA,NA,NA,NA,10000.000000000000000,50,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
51,24,51,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,NA,NA,NA,NA,NA,10000.000000000000000,51,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
52,24,52,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,NA,NA,NA,NA,NA,10000.000000000000000,52,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
53,24,53,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
54,10,54,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
55,0,55,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,NA,NA,NA,NA,NA,10000.000000000000000,55,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
56,0,56,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
57,0,57,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,NA,NA,NA,NA,NA,10000.000000000000000,57,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
58,1,58,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,NA,NA,NA,NA,NA,10000.000000000000000,58,256396779,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
59,0,59,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,NA,NA,NA,NA,NA,10000.000000000000000,59,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
60,1,60,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,NA,NA,NA,NA,NA,10000.000000000000000,60,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
61,16,61,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,NA,NA,NA,NA,NA,10000.000000000000000,61,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
62,16,62,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
63,2,63,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,NA,NA,NA,NA,NA,10000.000000000000000,63,788549766,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
64,13,64,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,NA,NA,NA,NA,NA,10000.000000000000000,64,186954764,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
65,0,65,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,NA,NA,NA,NA,NA,10000.000000000000000,65,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
66,1,66,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,NA,NA,NA,NA,NA,10000.000000000000000,66,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
67,1,67,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,NA,NA,NA,NA,NA,10000.000000000000000,67,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
68,1,68,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
69,1,69,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,NA,NA,NA,NA,NA,10000.000000000000000,69,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
70,1,70,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,NA,NA,NA,NA,NA,10000.000000000000000,70,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
71,27,71,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,NA,NA,NA,NA,NA,10000.000000000000000,71,731555905,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
72,29,72,164,Nordeste,NA,Afogados,-6.244350000000000,-35.036464000000002,NA,NA,NA,NA,NA,10000.000000000000000,72,618285416,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
73,29,73,165,Nordeste,NA,Sororoca,-6.238074000000000,-35.035608000000003,NA,NA,NA,NA,NA,10000.000000000000000,73,618285416,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
74,29,74,166,Nordeste,NA,Abacateiro,-6.233891000000000,-35.036746999999998,NA,NA,NA,NA,NA,10000.000000000000000,74,618285416,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
75,29,75,167,Nordeste,NA,Tibau do Sul,-6.180279000000000,-35.089708999999999,NA,NA,NA,NA,NA,10000.000000000000000,75,618285416,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
76,24,76,168,Nordeste,NA,Tabatinga,-6.049479000000000,-35.108238000000000,NA,NA,NA,NA,NA,10000.000000000000000,76,523750435,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
77,25,77,169,Nordeste,NA,Xoxoline,-6.005800000000000,-35.105258999999997,NA,NA,NA,NA,NA,10000.000000000000000,77,90080909,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
78,24,78,170,Nordeste,NA,Pirangi Reef,-5.980259000000000,-35.107796000000000,NA,NA,NA,NA,NA,10000.000000000000000,78,90080909,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
79,35,79,171,Nordeste,NA,Cotovelo,-5.949906000000000,-35.151975000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,90080909,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
80,31,80,172,Nordeste,NA,Miami,-5.794834000000000,-35.181663999999998,NA,NA,NA,NA,NA,10000.000000000000000,80,49048501,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
81,28,81,173,Nordeste,NA,Areia Preta,-5.792249000000000,-35.184387000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,49048501,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
82,20,82,174,Nordeste,NA,Praia dos Artistas,-5.781239000000000,-35.192050000000002,NA,NA,NA,NA,NA,10000.000000000000000,82,49048501,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
83,3,83,175,Nordeste,NA,Genipabu,-5.694407000000000,-35.201922000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,668252794,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
84,9,84,176,Nordeste,NA,Touros Area,-5.197434000000000,-35.457929999999998,NA,NA,NA,NA,NA,10000.000000000000000,84,630253717,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
85,0,85,177,Nordeste,NA,Urca da Concei&ccedil;&atilde;o,-5.069617000000000,-35.800230999999997,NA,NA,NA,NA,NA,10000.000000000000000,85,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
86,0,86,178,Nordeste,NA,Cocoa das Lavadeiras,-5.066515000000000,-35.862005000000003,NA,NA,NA,NA,NA,10000.000000000000000,86,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
87,0,87,179,Nordeste,NA,Baia das Ratas,-3.813000000000000,-32.393000000000001,NA,NA,NA,NA,NA,10000.000000000000000,87,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
88,55,88,180,Nordeste,NA,Volta da Jurema,-3.724294000000000,-38.496071999999998,NA,NA,NA,NA,NA,10000.000000000000000,88,291273207,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
89,55,89,181,Nordeste,NA,Portao,-3.719326000000000,-38.510655000000000,NA,NA,NA,NA,NA,10000.000000000000000,89,291273207,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
90,31,90,182,Nordeste,NA,Barra do Ceara,-3.692659000000000,-38.584716000000000,NA,NA,NA,NA,NA,10000.000000000000000,90,464606753,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
91,4,91,183,Nordeste,NA,Praia do Pecem,-3.546170000000000,-38.806919000000001,NA,NA,NA,NA,NA,10000.000000000000000,91,552628803,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
92,0,92,184,Nordeste,NA,Tabinha,-3.500935000000000,-38.911282000000000,NA,NA,NA,NA,NA,10000.000000000000000,92,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
93,1,93,185,Nordeste,NA,Pedra do Meio,-3.410858000000000,-39.040807000000001,NA,NA,NA,NA,NA,10000.000000000000000,93,139030752,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
94,1,94,186,Nordeste,NA,Havaizinho,-3.403507000000000,-39.022171000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,139030752,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
95,1,95,187,Nordeste,NA,Curral,-3.403353000000000,-39.025868000000003,NA,NA,NA,NA,NA,10000.000000000000000,95,139030752,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
96,1,96,188,Nordeste,NA,Outside,-3.398539000000000,-39.013306000000000,NA,NA,NA,NA,NA,10000.000000000000000,96,139030752,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
97,1,97,189,Nordeste,NA,Atins,-2.555789000000000,-42.727836000000003,NA,NA,NA,NA,NA,10000.000000000000000,97,725401148,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
