join_count,id,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_cluster,normalized_direction,normalized_frequency,normalized_experience,normalized_quality
1,1,1,3,1,3,0,1,0.5,1,0.333333
1,2,1,2,1,3,0,1,0.25,1,0.333333
1,3,1,2,0,5,0,1,0.25,0,1
1,5,1,1,1,3,0,1,0,1,0.333333
1,6,1,3,0,3.5,0,1,0.5,0,0.5
2,7,1,3,1,3,0.1,1,0.5,1,0.333333
2,8,1,3,1,3,0.1,1,0.5,1,0.333333
1,11,1,5,1,3.5,0,1,1,1,0.5
3,12,1,3,1,3,0.2,1,0.5,1,0.333333
3,13,1,3,1,3,0.2,1,0.5,1,0.333333
3,14,1,3,1,3,0.2,1,0.5,1,0.333333
2,15,1,3,1,3,0.1,1,0.5,1,0.333333
2,16,1,4,0,3,0.1,1,0.75,0,0.333333
4,17,1,3,1,3,0.3,1,0.5,1,0.333333
5,20,0,2,0,5,0.4,0,0.25,0,1
5,21,1,3,0,3.5,0.4,1,0.5,0,0.5
5,22,1,3,0,3.5,0.4,1,0.5,0,0.5
4,24,1,2,0,3.5,0.3,1,0.25,0,0.5
1,25,1,2,0,3,0,1,0.25,0,0.333333
2,26,1,2,0,3.5,0.1,1,0.25,0,0.5
2,27,1,3,1,3.5,0.1,1,0.5,1,0.5
1,28,1,4,0,3.5,0,1,0.75,0,0.5
1,29,1,3,1,3.5,0,1,0.5,1,0.5
4,30,0,2,1,3,0.3,0,0.25,1,0.333333
4,31,1,3,0,3,0.3,1,0.5,0,0.333333
5,33,0,1,0,5,0.4,0,0,0,1
5,34,0,1,1,3,0.4,0,0,1,0.333333
4,35,1,4,1,3,0.3,1,0.75,1,0.333333
3,37,1,2,1,3.5,0.2,1,0.25,1,0.5
2,39,0,3,0,3.5,0.1,0,0.5,0,0.5
1,41,1,3,1,3.5,0,1,0.5,1,0.5
2,42,1,4,0,4,0.1,1,0.75,0,0.666667
4,44,1,2,1,3,0.3,1,0.25,1,0.333333
6,45,1,4,0,4,0.5,1,0.75,0,0.666667
6,46,1,4,1,3.5,0.5,1,0.75,1,0.5
5,48,0,2,0,3.5,0.4,0,0.25,0,0.5
5,49,1,2,0,2,0.4,1,0.25,0,0
6,50,1,3,1,3.5,0.5,1,0.5,1,0.5
3,53,1,2,1,3,0.2,1,0.25,1,0.333333
2,54,1,3,1,3.5,0.1,1,0.5,1,0.5
3,58,0,3,0,5,0.2,0,0.5,0,1
6,59,0,3,0,3.5,0.5,0,0.5,0,0.5
6,60,1,3,1,3,0.5,1,0.5,1,0.333333
5,61,1,4,1,3.5,0.4,1,0.75,1,0.5
6,62,1,4,0,3.5,0.5,1,0.75,0,0.5
6,64,0,3,0,3.5,0.5,0,0.5,0,0.5
3,67,1,3,0,5,0.2,1,0.5,0,1
1,71,1,3,0,3,0,1,0.5,0,0.333333
1,73,1,4,1,3.5,0,1,0.75,1,0.5
5,75,0,1,1,3.5,0.4,0,0,1,0.5
3,76,0,1,1,3.5,0.2,0,0,1,0.5
3,79,0,1,0,4,0.2,0,0,0,0.666667
3,80,0,1,0,4,0.2,0,0,0,0.666667
4,81,0,1,0,3.5,0.3,0,0,0,0.5
2,82,1,2,0,3.5,0.1,1,0.25,0,0.5
3,83,1,3,1,3.5,0.2,1,0.5,1,0.5
3,85,1,2,0,2,0.2,1,0.25,0,0
3,86,1,2,1,3,0.2,1,0.25,1,0.333333
5,87,1,3,1,3,0.4,1,0.5,1,0.333333
6,88,1,3,1,3,0.5,1,0.5,1,0.333333
6,89,0,2,0,4,0.5,0,0.25,0,0.666667
6,90,0,2,0,4,0.5,0,0.25,0,0.666667
7,91,1,4,0,3,0.6,1,0.75,0,0.333333
6,92,0,2,0,3.5,0.5,0,0.25,0,0.5
7,94,1,1,0,4,0.6,1,0,0,0.666667
5,95,1,2,0,3,0.4,1,0.25,0,0.333333
5,96,1,3,0,3,0.4,1,0.5,0,0.333333
6,97,0,1,0,3.5,0.5,0,0,0,0.5
8,99,1,4,1,3.5,0.7,1,0.75,1,0.5
5,101,1,2,0,3,0.4,1,0.25,0,0.333333
6,102,1,3,1,3,0.5,1,0.5,1,0.333333
6,103,1,3,1,3,0.5,1,0.5,1,0.333333
8,104,0,2,1,3.5,0.7,0,0.25,1,0.5
8,105,0,2,1,3.5,0.7,0,0.25,1,0.5
8,106,0,1,1,3,0.7,0,0,1,0.333333
8,107,1,2,0,4,0.7,1,0.25,0,0.666667
11,108,1,2,0,3,1,1,0.25,0,0.333333
11,109,0,1,0,3.5,1,0,0,0,0.5
9,110,0,1,1,3,0.8,0,0,1,0.333333
9,111,1,3,1,2,0.8,1,0.5,1,0
8,112,1,2,0,3,0.7,1,0.25,0,0.333333
8,113,1,3,0,2,0.7,1,0.5,0,0
8,114,1,3,1,3.5,0.7,1,0.5,1,0.5
4,115,0,3,1,3,0.3,0,0.5,1,0.333333
2,116,1,4,1,3,0.1,1,0.75,1,0.333333
2,117,1,3,0,3,0.1,1,0.5,0,0.333333
4,119,1,4,1,3.5,0.3,1,0.75,1,0.5
4,120,0,1,0,3,0.3,0,0,0,0.333333
4,121,0,2,1,3.5,0.3,0,0.25,1,0.5
4,123,0,1,1,3.5,0.3,0,0,1,0.5
2,124,0,3,1,3.5,0.1,0,0.5,1,0.5
3,125,1,3,1,3,0.2,1,0.5,1,0.333333
2,126,0,2,0,3,0.1,0,0.25,0,0.333333
1,127,1,3,1,3.5,0,1,0.5,1,0.5
1,130,1,3,1,3,0,1,0.5,1,0.333333
1,132,0,4,0,3.5,0,0,0.75,0,0.5
1,133,1,4,1,3,0,1,0.75,1,0.333333
1,145,1,4,1,3.5,0,1,0.75,1,0.5
1,149,1,2,0,3.5,0,1,0.25,0,0.5
1,157,1,3,0,3,0,1,0.5,0,0.333333
1,159,1,2,0,3.5,0,1,0.25,0,0.5
2,160,0,3,0,3.5,0.1,0,0.5,0,0.5
3,162,1,2,0,3.5,0.2,1,0.25,0,0.5
2,163,0,3,0,3.5,0.1,0,0.5,0,0.5
1,168,0,2,0,3.5,0,0,0.25,0,0.5
1,172,1,3,0,3,0,1,0.5,0,0.333333
2,173,1,3,0,3.5,0.1,1,0.5,0,0.5
2,174,0,3,1,3.5,0.1,0,0.5,1,0.5
1,175,1,3,1,3.5,0,1,0.5,1,0.5
1,179,0,2,0,3.5,0,0,0.25,0,0.5
2,182,1,4,1,3.5,0.1,1,0.75,1,0.5
2,183,0,2,1,3,0.1,0,0.25,1,0.333333
1,186,1,2,1,3.5,0,1,0.25,1,0.5
3,194,1,1,0,4,0.2,1,0,0,0.666667
5,200,0,2,0,3.5,0.4,0,0.25,0,0.5
5,201,0,2,1,3,0.4,0,0.25,1,0.333333
2,204,0,2,0,5,0.1,0,0.25,0,1
3,207,1,3,0,2,0.2,1,0.5,0,0
1,213,0,2,1,4,0,0,0.25,1,0.666667
5,220,0,1,0,3.5,0.4,0,0,0,0.5
6,221,1,1,1,3.5,0.5,1,0,1,0.5
3,222,1,2,1,3.5,0.2,1,0.25,1,0.5
1,225,0,1,1,3.5,0,0,0,1,0.5
1,227,0,1,0,3,0,0,0,0,0.333333
1,228,1,2,0,2,0,1,0.25,0,0
1,229,1,4,0,3.5,0,1,0.75,0,0.5
1,231,1,4,1,3.5,0,1,0.75,1,0.5
1,232,1,3,1,3,0,1,0.5,1,0.333333
5,234,1,2,0,3.5,0.4,1,0.25,0,0.5
5,235,1,2,1,3,0.4,1,0.25,1,0.333333
5,236,0,2,0,3.5,0.4,0,0.25,0,0.5
5,238,0,3,0,3.5,0.4,0,0.5,0,0.5
5,239,0,1,1,3,0.4,0,0,1,0.333333
1,242,1,3,1,3,0,1,0.5,1,0.333333
1,252,1,4,1,3,0,1,0.75,1,0.333333
2,255,1,3,1,3,0.1,1,0.5,1,0.333333
2,256,1,4,0,3.5,0.1,1,0.75,0,0.5
1,257,1,4,1,3,0,1,0.75,1,0.333333
1,258,0,3,0,3.5,0,0,0.5,0,0.5
2,262,1,4,1,3,0.1,1,0.75,1,0.333333
2,263,1,3,1,3.5,0.1,1,0.5,1,0.5
2,265,1,4,0,3.5,0.1,1,0.75,0,0.5
2,266,1,2,0,3.5,0.1,1,0.25,0,0.5
1,267,0,3,0,3.5,0,0,0.5,0,0.5
1,268,1,3,1,3,0,1,0.5,1,0.333333
2,271,1,4,1,3.5,0.1,1,0.75,1,0.5
2,272,1,3,1,3,0.1,1,0.5,1,0.333333
1,274,1,4,1,3.5,0,1,0.75,1,0.5
1,276,1,4,1,3,0,1,0.75,1,0.333333
1,278,1,4,0,3.5,0,1,0.75,0,0.5
1,279,1,1,1,3,0,1,0,1,0.333333
1,290,1,1,1,3,0,1,0,1,0.333333
1,291,0,1,1,3.5,0,0,0,1,0.5
1,296,0,2,1,3,0,0,0.25,1,0.333333
1,304,1,2,0,3,0,1,0.25,0,0.333333
1,307,1,3,0,3,0,1,0.5,0,0.333333
1,308,1,1,1,3.5,0,1,0,1,0.5
1,309,1,2,1,3.5,0,1,0.25,1,0.5
1,311,1,3,1,3,0,1,0.5,1,0.333333
