id,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
0,0,0.0543792820385,0,0.0772945988,0.0772945988,0.0488149258
1,0,0.188613552669,0,0.268094913,0.268094913,0.1693136843
2,0,0.140627450147,0,0.1998875663,0.1998875663,0.1262377563
3,0,0.177135263249,0,0.2517796962,0.2517796962,0.15900991
4,25301.6056786,0.301821618934,0.0227156177,0.4290086238,0.4517242415,0.285283651
5,17994.1841259,0.169540787809,0.016155062,0.2409849245,0.2571399865,0.1623951682
6,13332.5432644,0.122431117731,0.011969871,0.1740233371,0.1859932081,0.1174628603
7,179450.89278,0.290008803065,0.1611098493,0.4122179118,0.5733277611,0.3620816018
8,452319.531183,0.146996382441,0.4060895456,0.2089403534,0.615029899,0.3884183291
9,170109.182089,0.0753734595487,0.1527229219,0.1071356792,0.2598586011,0.1641120924
10,252001.905258,0.149895089274,0.2262456784,0.2130605693,0.4393062477,0.2774411438
11,65744.5763474,0.371751910708,0.0590250548,0.5284073956,0.5874324504,0.3709893311
12,142189.395483,0.321469463194,0.1276567183,0.4569360289,0.5845927472,0.3691959341
13,13066.6500759,0.33336838485,0.0117311538,0.4738491315,0.4855802853,0.3066652261
14,561329.067032,0.214664791943,0.5039576008,0.3051240905,0.8090816913,0.5109705384
15,38820.3635883,0.302805626871,0.034852671,0.4304072906,0.4652599616,0.2938320513
16,45288.7685223,0.299729856136,0.0406599631,0.4260353965,0.4666953596,0.2947385681
17,33877.3532028,0.256239286146,0.0304148683,0.3642179904,0.3946328587,0.2492279413
18,431793.382887,0.259003115652,0.3876613026,0.368146492,0.7558077946,0.4773257384
19,57739.8563976,0.290407500859,0.0518384691,0.41278462,0.4646230891,0.2934298385
20,156231.152723,0.25120073559,0.1402633171,0.3570562051,0.4973195222,0.3140790686
21,395813.841616,0.328282524694,0.3553591034,0.4666201004,0.8219792038,0.5191158826
22,347204.923389,0.362154725849,0.3117183315,0.514765977,0.8264843085,0.5219610536
23,497646.938065,0.281141912337,0.4467841979,0.3996145317,0.8463987296,0.5345378831
24,567646.606522,0.270476081166,0.5096294469,0.3844541414,0.8940835883,0.5646529607
25,793425.832066,0.384242117099,0.7123325733,0.5461609491,1.2584935224,0.7947938009
26,520644.699898,0.39041813933,0.4674314395,0.5549395343,1.0223709738,0.6456720656
27,384420.090822,0.397455485354,0.3451298678,0.5649424034,0.9100722712,0.5747505145
28,0,0.245804040777,0,0.3493853543,0.3493853543,0.2206521597
29,0,0.254588630326,0,0.3618717517,0.3618717517,0.2285378668
30,52233.3826351,0.458026617651,0.0468947926,0.6510380853,0.6979328779,0.4407751927
31,2872.28284836,0.345147834034,0.0025787169,0.4905924162,0.4931711331,0.3114591791
32,2872.28284836,0.342547911252,0.0025787169,0.4868968913,0.4894756082,0.3091252932
33,2872.28284836,0.344962844079,0.0025787169,0.4903294718,0.4929081887,0.3112931182
34,2872.28284836,0.376045775741,0.0025787169,0.5345106865,0.5370894034,0.3391954911
35,2872.28284836,0.356470459219,0.0025787169,0.5066863722,0.5092650891,0.3216232175
36,2872.28284836,0.393772697555,0.0025787169,0.5597076964,0.5622864133,0.3551085069
37,2872.28284836,0.416183601574,0.0025787169,0.591562509,0.5941412259,0.3752262167
38,84726.7590828,0.42087571865,0.0760671356,0.5982318745,0.6742990101,0.4258493696
39,0,0.355005483967,0,0.5046040594,0.5046040594,0.318679573
40,0,0.391787192104,0,0.5568855031,0.5568855031,0.3516975954
41,0,0.40130481687,0,0.5704138352,0.5704138352,0.3602413299
42,0,0.3825638432,0,0.5437754541,0.5437754541,0.3434180251
43,0,0.196633328897,0,0.2794942063,0.2794942063,0.1765128375
44,0,0.213317583082,0,0.3032091706,0.3032091706,0.1914898765
45,0,0.196593907912,0,0.2794381734,0.2794381734,0.1764774502
46,581314.900328,0.377820913336,0.5219007525,0.5370338634,1.0589346159,0.6687636077
47,668109.196365,0.413278924099,0.5998241094,0.5874338064,1.1872579158,0.7498053941
48,567242.974289,0.374574715915,0.5092670685,0.5324197251,1.0416867936,0.6578708522
49,0,0.372748763896,0,0.5298243207,0.5298243207,0.334607273
50,0,0.428286562263,0,0.6087656322,0.6087656322,0.3844621701
51,0,0.419097514067,0,0.5957043382,0.5957043382,0.3762133907
52,0,0.174171796426,0,0.2475674306,0.2475674306,0.1563496797
53,0,0.0747799274577,0,0.1062920339,0.1062920339,0.0671280766
54,0,0.181219408044,0,0.2575848911,0.2575848911,0.1626761449
55,0,0.422558707918,0,0.6006240719,0.6006240719,0.379320418
56,0,0.166230484485,0,0.2362796662,0.2362796662,0.1492209619
57,0,0.166532270391,0,0.2367086241,0.2367086241,0.1494918676
58,0,0.268955407589,0,0.3822926591,0.3822926591,0.2414345646
59,131.735664368,0.330034431766,1.182714e-4,0.4691102575,0.4692285289,0.2963383755
60,0,0.137396270089,0,0.1952947736,0.1952947736,0.1233372065
61,0,0.142789653975,0,0.2029609183,0.2029609183,0.1281787127
62,0,0.214259811569,0,0.3045484522,0.3045484522,0.1923356915
63,31.9377346039,0.403930385676,2.86735e-5,0.5741458133,0.5741744868,0.3626163462
64,0,0.210779491165,0,0.299601532,0.299601532,0.1892114946
65,0,0.23349081922,0,0.3318833667,0.3318833667,0.2095988877
66,0,0.23217351818,0,0.3300109577,0.3300109577,0.2084163794
67,40625.4628582,0.408651600438,0.0364732774,0.5808565382,0.6173298156,0.3898708272
68,231139.48778,0.255702474497,0.2075155351,0.3634549675,0.5709705026,0.3605928897
69,200635.737347,0.310105392375,0.1801294655,0.4407831622,0.6209126277,0.39213353
70,185531.81945,0.296268347344,0.1665692659,0.4211152151,0.587684481,0.3711484994
71,216533.159025,0.314716709289,0.1944020678,0.4473376785,0.6417397463,0.4052867679
72,31386.975378,0.272044743516,0.0281790232,0.3866838348,0.414862858,0.2620040722
73,3266.16012001,0.235725981529,0.0029323374,0.3350604217,0.3379927591,0.2134572367
74,385.635803223,0.208533650681,3.462213e-4,0.296409299,0.2967555203,0.1874141136
75,385.635803223,0.208533650681,3.462213e-4,0.296409299,0.2967555203,0.1874141136
76,61.8401260376,0.204122388514,5.55197e-5,0.2901391401,0.2901946598,0.1832706427
77,4009.57268906,0.206700621505,0.0035997684,0.2938038351,0.2974036035,0.1878234065
78,4009.57268906,0.196100589633,0.0035997684,0.2787369718,0.2823367402,0.1783080222
79,4009.57268906,0.19309663776,0.0035997684,0.2744671608,0.2780669292,0.1756114494
80,4009.57268906,0.175322923489,0.0035997684,0.2492036402,0.2528034086,0.1596564292
81,4224.74667168,0.168780659359,0.0037929502,0.2399044795,0.2436974297,0.1539056046
82,420340.445417,0.204471836473,0.3773789295,0.2906358447,0.6680147742,0.4218805993
83,133114.212301,0.184657548693,0.1195090777,0.2624718571,0.3819809348,0.241237697
84,2208.23900986,0.311441333491,0.0019825427,0.4426820661,0.4446646088,0.2808251837
85,0,0.385970214149,0,0.5486172627,0.5486172627,0.3464758393
86,0,0.344539194043,0,0.4897272966,0.4897272966,0.3092842454
87,10165.3503017,0.287549887721,0.0091263857,0.4087228146,0.4178492003,0.2638900783
88,11052.2202206,0.287549887721,0.0099226117,0.4087228146,0.4186454263,0.2643929299
89,29496.5396042,0.301238963519,0.0264818022,0.4281804386,0.4546622408,0.2871391263
90,29496.5396042,0.324188260663,0.0264818022,0.460800522,0.4872823242,0.3077401382
91,0,0.372027660006,0,0.5287993451,0.5287993451,0.333959956
92,358143.949034,0.560672102476,0.3215393179,0.7969381648,1.1184774827,0.706367537
93,330584.048393,0.403077940942,0.2967962176,0.5729341501,0.8697303677,0.5492728349
94,348174.332712,0.431777193382,0.3125886609,0.6137272081,0.926315869,0.5850090583
95,353404.291454,0.445992996996,0.317284084,0.6339335219,0.9512176059,0.6007355962
96,354995.82058,0.450465829314,0.3187129485,0.6402911965,0.959004145,0.6056531368
97,356905.203964,0.464089307776,0.32042718059999997,0.6596555805,0.9800827611,0.6189652064
98,45746.1833229,0.543310179317,0.0410706271,0.7722599632,0.8133305903,0.5136539043
99,14795.1863728,0.391096958005,0.0132830225,0.5559044058,0.5691874283,0.3594668002
100,58829.4741936,0.438954016451,0.0528167209,0.6239283295,0.6767450504,0.4273941512
101,66404.6843243,0.455672192622,0.0596176955,0.6476915105,0.707309206,0.4466967547
102,0,0.337022332905,0,0.4790428457,0.4790428457,0.3025365466
103,0,0.337022332905,0,0.4790428457,0.4790428457,0.3025365466
104,0,0.349023004677,0,0.4961005757,0.4961005757,0.3133092504
105,0,0.366694893533,0,0.5212193619,0.5212193619,0.3291728645
106,0,0.385599541229,0,0.548090389,0.548090389,0.3461430955
107,0,0.503517013104,0,0.7156980392,0.7156980392,0.4519946704
108,0,0.517820551595,0,0.7360290591,0.7360290591,0.4648346003
109,0,0.517502679386,0,0.7355772362,0.7355772362,0.4645492543
110,0,0.537150333302,0,0.7635043708,0.7635043708,0.4821864635
111,0,0.539130286515,0,0.7663186722,0.7663186722,0.4839638181
112,0,0.532688524668,0,0.7571623653,0.7571623653,0.4781812091
113,0,0.543499174792,0,0.772528601,0.772528601,0.4878856603
114,0,0.540303640597,0,0.7679864753,0.7679864753,0.4850171089
115,0,0.545941461721,0,0.7760000625,0.7760000625,0.4900780403
116,1846.10831642,0.540751702481,0.0016574241,0.7686233495,0.7702807736,0.4864660588
117,12629.3776245,0.546365757371,0.0113385734,0.7766031555,0.7879417289,0.4976197259
118,12629.3776245,0.55262715205,0.0113385734,0.7855030889,0.7968416623,0.5032404238
119,12629.3776245,0.578347484571,0.0113385734,0.8220619163,0.8334004897,0.5263289251
120,12629.3776245,0.599012642782,0.0113385734,0.8514353293,0.8627739027,0.5448795224
121,0,0.610042705226,0,0.8671134372,0.8671134372,0.5476201286
122,0,0.547695016337,0,0.7784925614,0.7784925614,0.4916521626
123,102201.721142,0.456136729166,0.0917560433,0.6483518018,0.7401078451,0.4674105324
124,141464.776043,0.392743473603,0.1270061597,0.5582447596,0.6852509193,0.4327659801
125,50499.6620674,0.253147079017,0.0453382695,0.3598227336,0.4051610031,0.2558769258
126,389981.326809,0.306821652247,0.3501227094,0.4361156608,0.7862383702,0.4965439802
127,939791.453836,0.356024598388,0.8437386805,0.5060526265,1.349791307,0.8524523521
128,652466.677851,0.417660168374,0.5857803576,0.593661298,1.1794416556,0.7448690833
129,500366.273371,0.261795039187,0.4492255995,0.3721149263,0.8213405258,0.5187125295
130,445744.049791,0.251914020663,0.400186121,0.358070067,0.758256188,0.4788720061
131,285659.267246,0.299764582699,0.25646304,0.4260847568,0.6825477968,0.4310588398
132,5732.78140068,0.3945280813,0.005146854,0.5607813973,0.5659282513,0.3574084871
133,0,0.0288399496343,0,0.0409930447,0.0409930447,0.0258889039
134,0,0.208150466325,0,0.2958646416,0.2958646416,0.1868514846
135,88319.209816,0.45465871887,0.0792924146,0.646250961,0.7255433756,0.4582124317
136,88319.209816,0.498642779832,0.0792924146,0.7087698141,0.7880622287,0.4976958268
137,98199.9067726,0.592786028304,0.0881632403,0.8425848324,0.9307480727,0.5878081891
138,54105.4857368,0.543619306615,0.0485755547,0.7726993561,0.8212749108,0.5186710907
139,164905.497103,0.52868383267,0.1480510873,0.7514701044,0.8995211917,0.5680870455
140,179605.691025,0.541642687254,0.1612488262,0.7698897934,0.9311386196,0.5880548366
141,243144.370415,0.561351076455,0.218293441,0.797903257,1.016196698,0.64177273990000006
142,219517.798712,0.534130551409,0.1970816579,0.7592120591,0.956293717,0.6039413828
143,218570.238462,0.527672691853,0.1962309445,0.7500328709,0.9462638154,0.5976070604
144,203668.535286,0.522833105527,0.1828522919,0.7431538929,0.9260061848,0.5848134791
145,137667.785244,0.519562716479,0.123597246,0.7385053687,0.8621026147,0.5444555746
146,43824.5009937,0.60419604693,0.0393453532,0.8588030093,0.8981483625,0.5672200437
147,66361.9885082,0.695248348133,0.0595793635,0.9882245615,1.047803925,0.6617340887
148,65738.6795368,0.703532754793,0.0590197607,1,1.0590197607,0.6688173804
149,152772.061678,0.69686497963,0.1371577675,0.9905224382,1.1276802057,0.7121794598
150,68875.2871037,0.672042021464,0.0618357867,0.9552391369,1.0170749236,0.6423273779
151,684253.640442,0.618016667195,0.6143184867,0.8784476103,1.492766097,0.9427471965
152,627244.466557,0.619649076438,0.5631360196,0.8807679134,1.443903933,0.911888599
153,594706.9092309999,0.687118891715,0.5339240114,0.976669369,1.5105933804,0.9540059071
154,598828.962633,0.687464643817,0.5376247642,0.9771608203,1.5147855845,0.9566534677
155,384688.27528,0.541102384451,0.345370642,0.7691218081,1.1144924501,0.7038508143
156,877956.069756,0.522059134213,0.7882232732,0.7420537717,1.5302770449,0.9664370037
157,8675.75575256,0.465939826063,0.0077890373,0.6622859034,0.6700749407,0.4231816847
158,241308.532135,0.45405394774,0.2166452373,0.6453913405,0.8620365778,0.5444138694
159,386138.139563,0.473557924498,0.3466723208,0.6731142527,1.0197865735,0.6440399036
160,560629.107014,0.48942209751,0.5033291813,0.6956635554,1.1989927367,0.7572164477
161,611772.792898,0.48977517886,0.5492456512,0.6961654245,1.2454110757,0.7865316626
162,735303.259121,0.495621646204,0.6601505037,0.704475581,1.3646260847,0.8618211642
163,278573.899481,0.50825425002,0.2501018427,0.7224315379,0.9725333806,0.6141974419
164,60179.2202988,0.444978794944,0.0540285142,0.6324919372,0.6865204514,0.4335677453
165,46184.6426125,0.439387743025,0.041464273,0.6245448276,0.6660091006,0.4206139285
166,41559.2620106,0.439387743025,0.0373116363,0.6245448276,0.6618564639,0.4179913565
167,205057.286304,0.410261117171,0.1840991036,0.5831443019,0.7672434055,0.4845478277
168,44581.3908386,0.530539792046,0.040024884,0.7541081612,0.7941330452,0.5015298134
169,5715.60255241,0.488461327818,0.005131431,0.6942979193,0.6994293503,0.4417202806
170,5715.60255241,0.411849921807,0.005131431,0.5854026255,0.5905340565,0.3729481312
171,5715.60255241,0.330678206069,0.005131431,0.470025317,0.475156748,0.3000823056
172,401311.551319,0.241447748031,0.3602949116,0.3431933288,0.7034882404,0.4442836475
173,413809.370436,0.249564902074,0.3715153727,0.3547310347,0.7262464074,0.4586564271
174,437800.300352,0.28702241186,0.3930542742,0.4079730615,0.8010273357,0.5058838599
175,285301.905785,0.536879138721,0.2561422032,0.7631188954,1.0192610986,0.6437080432
176,43.1974449158,0.023059660712,3.87824e-5,0.032776954,0.032815736399999997,0.0207245754
177,0,0.111685035879,0,0.1587488786,0.1587488786,0.1002568725
178,0,0.0577406467807,0,0.0820724357,0.0820724357,0.0518323392
179,0,0,0,0,0,0
180,167825.108236,0.114312011422,0.1506722952,0.1624828562,0.3131551514,0.1977711992
181,150885.183428,0.109371231494,0.1354637404,0.1554600418,0.2909237822,0.1837311154
182,254345.366884,0.149471086482,0.2283496231,0.2124578926,0.4408075157,0.2783892604
183,5366.58295822,0.299154940119,0.0048180834,0.4252182121,0.4300362955,0.2715867629
184,4036.9950695000002,0.18439265871,0.003624388,0.262095343,0.265719731,0.1678136528
185,15241.7899933,0.26675288015,0.0136839803,0.3791619912,0.3928459715,0.2480994437
186,15241.7899933,0.301651315716,0.0136839803,0.4287665552,0.4424505355,0.2794268994
187,15241.7899933,0.301651315716,0.0136839803,0.4287665552,0.4424505355,0.2794268994
188,15241.7899933,0.302081989511,0.0136839803,0.429378714,0.4430626943,0.2798135045
189,226542.229876,0.531720433679,0.2033881467,0.7557863227,0.9591744694,0.6057607041
190,168584.041725,0.469725080066,0.1513536608,0.6676662556,0.8190199164,0.517246963
191,159568.994574,0.471659441259,0.1432600099,0.6704157526,0.8136757625,0.5138718956
192,98393.6613598,0.494915326507,0.0883371919,0.7034716197,0.7918088116,0.500061958
193,110153.359304,0.490771896978,0.0988949726,0.6975821575,0.7964771301,0.5030102057
194,315587.165005,0.506359615963,0.2833321128,0.719738509,1.0030706218,0.6334830477
195,0,0.0327169514542,0,0.046503807,0.046503807,0.0293691917
196,0,0.0249251612458,0,0.0354285726,0.0354285726,0.0223746959
197,0,0.031247251032,0,0.0444147779,0.0444147779,0.0280498783
198,0,0.0445070762235,0,0.0632622659,0.0632622659,0.0399528928
199,0,0.0978719719808,0,0.1391150182,0.1391150182,0.0878572294
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0.0149613126422,0,0.0212659788,0.0212659788,0.0134303974
209,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
210,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
211,0,0.0748744263206,0,0.1064263544,0.1064263544,0.0672129059
212,0,0.266512705472,0,0.3788206074,0.3788206074,0.2392418118
213,0,0.26773893859,0,0.3805635726,0.3805635726,0.2403425707
214,0,0.236845984137,0,0.3366523911,0.3366523911,0.2126107356
215,0,0.251346758676,0,0.357263762,0.357263762,0.2256277194
216,0,0.239610723251,0,0.3405821856,0.3405821856,0.215092573
217,0,0.177463849786,0,0.2522467484,0.2522467484,0.1593048739
218,0,0.177976751086,0,0.2529757852,0.2529757852,0.1597652926
219,0,0.00309777174515,0,0.0044031663,0.0044031663,0.0027807924
220,0,0.0948075840529,0,0.1347593035,0.1347593035,0.0851064047
221,0,0.211416907958,0,0.3005075549,0.3005075549,0.1897836878
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0.0134739738546,0,0.0191518785,0.0191518785,0.0120952504
227,0,0.0368175241772,0,0.0523323526,0.0523323526,0.0330501736
228,0,0.0374426652509,0,0.0532209268,0.0532209268,0.0336113472
229,0,0.0935809786689,0,0.1330158092,0.1330158092,0.0840053117
230,0,0.0946597897718,0,0.1345492291,0.1345492291,0.0849737335
231,0,0.137661907085,0,0.1956723495,0.1956723495,0.1235756622
232,0,0.192669960586,0,0.2738606828,0.2738606828,0.1729550205
233,0,0.156171166342,0,0.2219813723,0.2219813723,0.1401909628
234,0,0.0113701983071,0,0.0161615763,0.0161615763,0.0102067436
235,0,0.0130291316143,0,0.0185195807,0.0185195807,0.0116959267
236,0,0.140843398094,0,0.2001945142,0.2001945142,0.1264316073
237,0,0.144571721464,0,0.2054939453,0.2054939453,0.1297784303
238,0,0.239968826699,0,0.3410911931,0.3410911931,0.2154140335
239,0,0.268021074304,0,0.3809645997,0.3809645997,0.2405958369
240,0,0.29232135232,0,0.4155049645,0.4155049645,0.2624095906
241,0,0.319981773147,0,0.4548214294,0.4548214294,0.2872396609
242,0,0.373703056777,0,0.5311807506,0.5311807506,0.3354639179
243,0,0.377553220716,0,0.5366533657,0.5366533657,0.3389201142
244,0,0.292136242436,0,0.4152418497,0.4152418497,0.2622434221
245,0,0.287873239612,0,0.4091824263,0.4091824263,0.2584166307
246,0,0.230999079991,0,0.3283416137,0.3283416137,0.2073621155
247,0,0.227846359973,0,0.323860344,0.323860344,0.2045319973
248,0,0.171864881586,0,0.2442883866,0.2442883866,0.1542788198
249,0,0.225777458354,0,0.3209196115,0.3209196115,0.2026747959
250,2176.59802437,0.296594974597,0.0019541356,0.4215794824,0.423533618,0.2674800371
251,31244.7337208,0.302522661283,0.0280513196,0.4300050839,0.4580564035,0.2892826888
252,32242.7647648,0.302661732424,0.0289473454,0.4302027594,0.4591501048,0.2899734091
253,6016.09392738,0.279168230186,0.0054012102,0.396809144,0.4022103542,0.2540134617
254,333.875936508,0.281416339177,2.997517e-4,0.4000046014,0.4003043531,0.2528097385
255,120.461288452,0.19608752988,1.081494e-4,0.2787184087,0.2788265581,0.1760911884
256,4816.94838333,0.16365096806,0.0043246251,0.2326131469,0.236937772,0.1496365846
257,61979.9353714,0.164931176027,0.0556451846,0.2344328319,0.2900780165,0.1831969773
258,232614.461908,0.170046202244,0.2088397573,0.2417033195,0.4505430768,0.2845376938
259,287626.808069,0.170801784063,0.2582294854,0.242777302,0.5010067874,0.3164077381
260,288316.240461,0.169978618454,0.2588484534,0.2416072561,0.5004557095,0.3160597083
261,288316.240461,0.171813173416,0.2588484534,0.2442148887,0.5030633421,0.3177065425
262,196582.49107,0.165411912074,0.1764904873,0.2351161491,0.4116066364,0.2599476256
263,44766.6933155,0.175630690548,0.0401912473,0.2496410996,0.2898323469,0.1830418262
264,22261.022398,0.177277190497,0.0199858017,0.2519814313,0.271967233,0.171759224
265,44715.0096626,0.177308281558,0.0401448461,0.252025624,0.2921704701,0.1845184535
266,38954.2398796,0.169459005776,0.0349728643,0.2408686797,0.275841544,0.1742060212
267,5681.21506119,0.145169065057,0.0051005581,0.2063430083,0.2114435664,0.1335358767
268,0,0.139597160253,0,0.1984231143,0.1984231143,0.1253128907
269,249381.0714,0.240968191362,0.2238927107,0.3425116879,0.5664043986,0.357709195
270,247028.282564,0.32935792734,0.2217803922,0.4681486755,0.6899290677,0.43572043580000003
271,3052.02251244,0.132048605461,0.002740086,0.1876936142,0.1904337002,0.1202672256
272,6657.12937164,0.111900181788,0.0059767276,0.1590546865,0.1650314141,0.1042245689
273,4742.51325035,0.110542670773,0.0042577977,0.1571251232,0.1613829209,0.1019203856
