id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
0,0.0930288247,0.0476190476,0,0.1406478723,0.058558539
1,0,0.2857142857,1,1.2857142857,0.535305291
2,0,0,0,0,0
3,0,0,0,0,0
4,0.3831055419,0,0,0.3831055419,0.1595054406
5,0.9999999917,0.9047619048,0,1.9047618965,0.7930448721
6,0.9999999917,0.0952380952,0,1.0952380869,0.4560007999
7,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
8,0.3927576514,0.1428571429,0,0.5356147943,0.2230024481
195,0.0346018797,0,0,0.0346018797,0.0144064428
196,0.1866674813,0,0,0.1866674813,0.077718737
197,0.0933337406,0,0,0.0933337406,0.0388593685
198,0.0933337406,0,0,0.0933337406,0.0388593685
199,0.0933337406,0,0,0.0933337406,0.0388593685
200,0,0,0,0,0
201,0.2352069342,0.0476190476,0,0.2828259818,0.1177541902
202,0.2352069342,0.0476190476,0,0.2828259818,0.1177541902
203,0.2352069342,0.0476190476,0,0.2828259818,0.1177541902
204,0.2054487809,0.0476190476,0,0.2530678285,0.1053644259
205,0.2348246437,0,0,0.2348246437,0.0977689022
206,0.5379410353,0.0952380952,1,1.6331791305,0.6799717786
207,0.5379410353,0.0952380952,1,1.6331791305,0.6799717786
208,0.6400688765,0.0952380952,1,1.7353069717,0.7224925582
209,0.4723793477,0,0,0.4723793477,0.196674461
210,0.3502673643,0,0,0.3502673643,0.1458333126
211,0.1503721699,0.2857142857,1,1.4360864556,0.5979125273
212,0.2214664694,0.2857142857,0,0.5071807551,0.2111639769
213,0.2214664694,0.2857142857,0,0.5071807551,0.2111639769
214,0.3321997041,0.2857142857,0,0.6179139898,0.2572675996
215,0.3321997041,0.2857142857,0,0.6179139898,0.2572675996
216,0.3321997041,0.2857142857,0,0.6179139898,0.2572675996
217,0.2214664694,0.2857142857,0,0.5071807551,0.2111639769
218,0.2214664694,0.2857142857,0,0.5071807551,0.2111639769
219,0.1033296117,0,0,0.1033296117,0.043021135
220,0.06836031,0,0,0.06836031,0.0284617166
221,0.1311400422,0,0,0.1311400422,0.0545999677
222,0.1871984229,0,0,0.1871984229,0.0779397937
223,0.2262145986,0.0476190476,0,0.2738336462,0.1140102442
224,0.2262145986,0.0476190476,0,0.2738336462,0.1140102442
225,0.0930288247,0.0476190476,0,0.1406478723,0.058558539
226,0.0930288247,0.0476190476,0,0.1406478723,0.058558539
227,0.0930288247,0.0476190476,0,0.1406478723,0.058558539
228,0.0930288247,0.0476190476,0,0.1406478723,0.058558539
229,0,0.2857142857,0,0.2857142857,0.1189567313
230,0,0.2857142857,0,0.2857142857,0.1189567313
231,0,0.2857142857,0,0.2857142857,0.1189567313
232,0,0.2857142857,0,0.2857142857,0.1189567313
233,0,0.2857142857,1,1.2857142857,0.535305291
234,0,0,1,1,0.4163485596
235,0,0,1,1,0.4163485596
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0.0534126446,0,0,0.0534126446,0.0222382776
241,0.0534126446,0,0,0.0534126446,0.0222382776
242,0.0534126446,0,0,0.0534126446,0.0222382776
243,0.0534126446,0,0,0.0534126446,0.0222382776
244,0.0534126446,0,0,0.0534126446,0.0222382776
245,0.0534126446,0,0,0.0534126446,0.0222382776
246,0.0534126446,0,0,0.0534126446,0.0222382776
247,0.0801189669,0,0,0.0801189669,0.0333574165
248,0.1774740586,0,0,0.1774740586,0.0738910687
249,0.1774740586,0,0,0.1774740586,0.0738910687
250,0.3831055419,0,0,0.3831055419,0.1595054406
251,0.3831055419,0,0,0.3831055419,0.1595054406
252,0.5108073892,0,0,0.5108073892,0.2126739207
253,0.6860921169,0,0,0.6860921169,0.2856534647
254,0.6860921169,0,0,0.6860921169,0.2856534647
255,0.9999999917,0,0,0.9999999917,0.4163485562
256,0.6860921169,0,0,0.6860921169,0.2856534647
257,0.6860921169,0,0,0.6860921169,0.2856534647
258,0.6860921169,0,1,1.6860921169,0.7020020243
259,0.9999999917,0,1,1.9999999917,0.8326971158
260,0.9999999917,0,1,1.9999999917,0.8326971158
261,0.9999999917,0,1,1.9999999917,0.8326971158
262,0.9999999917,0.380952381,0,1.3809523727,0.5749575313
263,0.9999999917,0.1428571429,0,1.1428571346,0.4758269219
264,0.9999999917,0.1428571429,0,1.1428571346,0.4758269219
265,0.9999999917,0.1428571429,0,1.1428571346,0.4758269219
266,0.9999999917,0.9047619048,0,1.9047618965,0.7930448721
267,0.9999999917,0.9523809524,0,1.9523809441,0.812870994
268,0.9999999917,0.9523809524,0,1.9523809441,0.812870994
269,0.9193338382,0.0952380952,0,1.0145719334,0.4224155631
270,0.6681573552,0.0476190476,0,0.7157764028,0.2980124743
271,0.9999999917,1,0,1.9999999917,0.8326971158
272,0.9999999917,1,0,1.9999999917,0.8326971158
273,0.9999999917,1,0,1.9999999917,0.8326971158
274,0.9999999917,0.0952380952,0,1.0952380869,0.4560007999
275,0.9999999917,0.0952380952,0,1.0952380869,0.4560007999
276,0.5790476859,0,0,0.5790476859,0.24108567
277,0.7167954515,0,0,0.7167954515,0.2984367538
278,0.7535996488,0.0476190476,0,0.8012186964,0.3335862502
279,0.7535996488,0.0476190476,0,0.8012186964,0.3335862502
280,0.7535996488,0.0476190476,0,0.8012186964,0.3335862502
281,0.5023997658,0.0476190476,0,0.5500188134,0.2289995407
282,0.7194694625,0,0,0.7194694625,0.2995500744
283,0.7194694625,0,0,0.7194694625,0.2995500744
284,0.7194694625,0,0,0.7194694625,0.2995500744
285,0.6681046713,0.0476190476,0,0.7157237189,0.2979905395
286,0.6111080197,0.2380952381,0,0.84920325780000006,0.3535645532
287,0.6111080197,0.5714285714,0,1.1825365911,0.4923474064
288,0.5119431476,0.7619047619,0,1.2738479095,0.5303647423
289,0.5119431476,0.7619047619,0,1.2738479095,0.5303647423
290,0.6399289345,0.7619047619,0,1.4018336964,0.5836514404
291,0.6399289345,0.7619047619,1,2.4018336964,1
292,0.6399289345,0.7619047619,1,2.4018336964,1
293,0.5119431476,0.7142857143,1,2.2262288619,0.9268871801
294,0.5119431476,0.5714285714,1,2.083371719,0.8674088144
295,0.556102148,0.4285714286,1,1.9846735766,0.826315985
296,0.1815979198,0.2380952381,1,1.4196931579,0.5910872014
297,0.1815979198,0.0476190476,1,1.2292169674,0.5117827139
298,0.1815979198,0.0476190476,1,1.2292169674,0.5117827139
299,0.1423324881,0.0476190476,0,0.1899515357,0.0790860483
300,0.1423324881,0.0476190476,0,0.1899515357,0.0790860483
301,0.1423324881,0.0476190476,0,0.1899515357,0.0790860483
302,0.1091078808,0.0476190476,0,0.1567269284,0.0652530309
303,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
304,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
305,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
306,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
307,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
308,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
309,0.178479529,0.0476190476,0,0.2260985766,0.0941358167
310,0.2133608517,0.0952380952,0,0.3085989469,0.128484727
311,0.2133608517,0.0476190476,0,0.2609798993,0.1086586052
312,0.2068776416,0,0,0.2068776416,0.0861332081
313,0.2068776416,0,0,0.2068776416,0.0861332081
314,0.3026281051,0.1904761905,1,1.4931042956,0.6216518229
315,0.3026281051,0.1904761905,1,1.4931042956,0.6216518229
316,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
317,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
318,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
319,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
320,0,0.0476190476,0,0.0476190476,0.0198261219
321,0.0816702829,0.0476190476,0,0.1292893305,0.0538294265
322,0.1225054243,0.0476190476,0,0.1701244719,0.0708310788
323,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
324,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
325,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
326,0.532365479,0.1428571429,0,0.6752226219,0.2811279661
327,0.3528024448,0,0,0.3528024448,0.1468887897
328,0.3528024448,0,0,0.3528024448,0.1468887897
512,0.2027092586,0,0,0.2027092586,0.0843977078
513,0.2054487809,0.0476190476,0,0.2530678285,0.1053644259
514,0.2798537324,0.0476190476,0,0.32747278,0.1363428203
515,0.3009198968,0,0,0.3009198968,0.1252875656
516,0,0,0,0,0
517,0.3927576514,0.1428571429,0,0.5356147943,0.2230024481
518,0.5292036672,0,0,0.5292036672,0.2203331846
